year,month,day,dep_time,sched_dep_time,arr_time,sched_arr_time,distance,origin,dest
2013,3,25,1929.0,1905,2236.0,2217,1068,EWR,RSW
2013,4,26,956.0,1000,1257.0,1334,2586,JFK,SFO
2013,5,21,1320.0,1309,1430.0,1414,199,EWR,DCA
2013,7,18,1222.0,1230,1357.0,1419,529,EWR,CLT
2013,8,29,540.0,545,921.0,921,1576,JFK,BQN
2013,11,14,2031.0,2025,2342.0,2340,2475,JFK,LAX
2013,3,30,1755.0,1755,2110.0,2114,2475,JFK,LAX
2013,8,10,1544.0,1545,2003.0,2001,1598,JFK,SJU
2013,3,27,1855.0,1900,2019.0,2028,184,JFK,BWI
2013,5,13,1912.0,1915,2055.0,2154,2153,JFK,PHX
2013,9,23,557.0,600,812.0,829,746,EWR,ATL
2013,11,30,1552.0,1600,1837.0,1906,944,JFK,MCO
2013,4,12,1117.0,1115,1401.0,1404,1400,EWR,IAH
2013,9,10,1257.0,1259,1443.0,1501,544,LGA,CLT
2013,1,13,2131.0,2125,2256.0,2233,200,EWR,BOS
2013,10,15,652.0,700,1003.0,1003,2475,JFK,LAX
2013,7,8,559.0,605,846.0,905,1096,LGA,MIA
2013,8,28,1920.0,1735,2240.0,2048,2422,JFK,SEA
2013,11,3,1156.0,1151,1415.0,1419,762,LGA,ATL
2013,6,2,900.0,900,1021.0,1036,733,LGA,ORD
2013,2,27,1056.0,1103,1258.0,1305,502,LGA,DTW
2013,7,14,1306.0,1315,1503.0,1505,529,EWR,CLT
2013,8,13,2025.0,2025,2226.0,2158,397,LGA,CAK
2013,4,8,2122.0,2100,2218.0,2209,200,EWR,BOS
2013,9,14,1254.0,1249,1349.0,1352,187,JFK,BOS
2013,12,5,1311.0,1156,1551.0,1425,1605,EWR,DEN
2013,10,11,1554.0,1545,1958.0,1944,1598,JFK,SJU
2013,3,25,945.0,935,1304.0,1247,1076,LGA,FLL
2013,10,1,,1159,,1344,419,LGA,CLE
2013,8,18,828.0,830,1106.0,1127,2425,EWR,SAN
2013,7,3,1442.0,1445,1631.0,1642,301,JFK,BUF
2013,6,17,2044.0,2030,2202.0,2211,228,JFK,IAD
2013,2,17,1824.0,1835,1930.0,1950,184,JFK,BWI
2013,4,15,1212.0,1220,1448.0,1505,1005,JFK,TPA
2013,5,16,1601.0,1603,1730.0,1730,229,LGA,IAD
2013,3,14,1448.0,1455,1620.0,1632,301,JFK,BUF
2013,12,3,555.0,600,848.0,856,1076,LGA,FLL
2013,3,1,1802.0,1805,1913.0,1921,187,JFK,BOS
2013,9,21,1407.0,1415,1540.0,1550,888,LGA,STL
2013,9,7,740.0,746,958.0,1030,1400,EWR,IAH
2013,4,28,915.0,920,1153.0,1225,1372,EWR,DFW
2013,1,7,2230.0,2230,308.0,313,1598,JFK,SJU
2013,12,5,2033.0,2030,2217.0,2150,719,EWR,ORD
2013,7,7,2215.0,1935,55.0,2245,2402,EWR,SEA
2013,11,30,1718.0,1715,2015.0,2035,1521,JFK,AUS
2013,3,29,1840.0,1845,2006.0,2030,444,LGA,CRW
2013,4,8,1506.0,1449,1636.0,1625,416,EWR,RDU
2013,9,19,10.0,2103,109.0,2226,277,EWR,RIC
2013,12,9,1638.0,1645,1918.0,1926,1620,LGA,DEN
2013,11,8,1858.0,1850,2215.0,2225,2586,JFK,SFO
2013,12,13,816.0,825,941.0,953,213,JFK,DCA
2013,12,26,1649.0,1648,1945.0,2038,2565,EWR,SFO
2013,6,13,842.0,830,1049.0,1010,740,JFK,ORD
2013,4,10,2148.0,1900,2330.0,2015,214,LGA,DCA
2013,7,9,905.0,905,1158.0,1225,1096,LGA,MIA
2013,10,25,1801.0,1755,2032.0,2036,2248,JFK,LAS
2013,2,14,2039.0,2040,2358.0,2332,937,EWR,MCO
2013,4,27,1548.0,1550,1802.0,1805,1167,EWR,MSY
2013,4,25,815.0,820,932.0,930,187,JFK,BOS
2013,5,8,2117.0,2030,2248.0,2150,711,EWR,MDW
2013,11,5,1919.0,1930,2153.0,2230,950,LGA,MCO
2013,2,6,1547.0,1550,1710.0,1710,711,EWR,MDW
2013,4,30,2020.0,2030,2135.0,2201,397,LGA,CAK
2013,8,7,1917.0,1825,2043.0,2009,378,LGA,BGR
2013,1,4,1341.0,1340,1617.0,1626,937,EWR,MCO
