year,sex,age,marst,race,raced,hispan,hispand,speakeng,hcovany
2019,male,2,never married/single,white,white,not hispanic,not hispanic,n/a (blank),no health insurance coverage
2019,female,65,"married, spouse present",white,white,other,spaniard,"yes, speaks only english",with health insurance coverage
2019,male,66,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,60,"married, spouse present",chinese,chinese,not hispanic,not hispanic,does not speak english,with health insurance coverage
2019,female,58,widowed,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,60,divorced,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,66,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,83,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,11,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,43,"married, spouse present",two major races,white and other asian race(s),not hispanic,not hispanic,"yes, speaks very well",with health insurance coverage
2019,female,20,"married, spouse present",white,white,mexican,mexican,"yes, speaks very well",with health insurance coverage
2019,male,15,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,50,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,70,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,48,"married, spouse present",white,white,cuban,cuban,"yes, but not well",with health insurance coverage
2019,male,24,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,71,"married, spouse present",black/african american,black/african american,not hispanic,not hispanic,"yes, but not well",with health insurance coverage
2019,male,68,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,55,divorced,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,14,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,73,"married, spouse present",white,white,puerto rican,puerto rican,"yes, speaks only english",with health insurance coverage
2019,female,4,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,43,never married/single,black/african american,black/african american,other,"other, n.s","yes, speaks only english",no health insurance coverage
2019,female,14,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,39,"married, spouse absent","other race, nec","other race, n.e.c",other,guatemalan,does not speak english,no health insurance coverage
2019,female,6,never married/single,white,white,mexican,mexican,"yes, speaks only english",with health insurance coverage
2019,male,63,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,32,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,80,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,55,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,47,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,65,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,3,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,male,23,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,7,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,66,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,73,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,59,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,17,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,28,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,24,never married/single,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,65,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,12,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,23,never married/single,other asian or pacific islander,filipino,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,47,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,53,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,8,never married/single,white,white,mexican,mexican,"yes, speaks well",with health insurance coverage
2019,female,89,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,89,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,31,divorced,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,55,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,42,"married, spouse present","other race, nec","other race, n.e.c",other,salvadoran,"yes, speaks very well",with health insurance coverage
2019,male,67,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,41,"married, spouse absent",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,28,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,42,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,63,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,85,widowed,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,86,widowed,black/african american,black/african american,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,40,"married, spouse present",other asian or pacific islander,"other asian, n.e.c",not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,less than 1 year old,never married/single,black/african american,black/african american,not hispanic,not hispanic,n/a (blank),with health insurance coverage
2019,female,25,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",no health insurance coverage
2019,male,11,never married/single,white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,male,87,"married, spouse present",white,white,not hispanic,not hispanic,"yes, speaks only english",with health insurance coverage
2019,female,1,never married/single,white,white,not hispanic,not hispanic,n/a (blank),with health insurance coverage
